INTERVAL;ENERGY(kWh)
00:00;0
00:15;0
00:30;0
00:45;0
01:00;0
01:15;0
01:30;0
01:45;0
02:00;0
02:15;0
02:30;0
02:45;0
03:00;0
03:15;0
03:30;0
03:45;0
04:00;0
04:15;0
04:30;0
04:45;0
05:00;0
05:15;0
05:30;0
05:45;0
06:00;0
06:15;0
06:30;0
06:45;0
07:00;0
07:15;0
07:30;0
07:45;0
08:00;0.0288
08:15;0.0352
08:30;0.0424
08:45;0.0504
09:00;0.0592
09:15;0.0692
09:30;0.0796
09:45;0.0904
10:00;0.1012
10:15;0.1124
10:30;0.1232
10:45;0.1332
11:00;0.1428
11:15;0.1508
11:30;0.1572
11:45;0.1624
12:00;0.1652
12:15;0.1664
12:30;0.1656
12:45;0.1628
13:00;0.158
13:15;0.1516
13:30;0.1436
13:45;0.1348
14:00;0.1244
14:15;0.114
14:30;0.1028
14:45;0.0916
15:00;0.0808
15:15;0.0704
15:30;0.0608
15:45;0.0516
16:00;0.0432
16:15;0.036
16:30;0.0296
16:45;0
17:00;0
17:15;0
17:30;0
17:45;0
18:00;0
18:15;0
18:30;0
18:45;0
19:00;0
19:15;0
19:30;0
19:45;0
20:00;0
20:15;0
20:30;0
20:45;0
21:00;0
21:15;0
21:30;0
21:45;0
22:00;0
22:15;0
22:30;0
22:45;0
23:00;0
23:15;0
23:30;0
23:45;0
00:00;0
