Interval;Power(W)
00:00;0
00:15;0
00:30;0
00:45;0
01:00;0
01:15;0
01:30;0
01:45;0
02:00;0
02:15;0
02:30;0
02:45;0
03:00;0.125
03:15;0.125
03:30;55.07
03:45;55.07
04:00;139.8
04:15;139.8
04:30;217.06
04:45;217.06
05:00;365.26
05:15;365.26
05:30;679.195
05:45;679.195
06:00;1067.615
06:15;1067.615
06:30;1503.66
06:45;1503.66
07:00;1959.03
07:15;1959.03
07:30;2413.325
07:45;2413.325
08:00;2851.155
08:15;2851.155
08:30;3256.095
08:45;3256.095
09:00;3620.915
09:15;3620.915
09:30;3936.07
09:45;3936.07
10:00;4201.925
10:15;4201.925
10:30;4405.82
10:45;4405.82
11:00;4437.635
11:15;4437.635
11:30;4228.58
11:45;4228.58
12:00;3923.315
12:15;3923.315
12:30;3540.92
12:45;3540.92
13:00;2676.38
13:15;2676.38
13:30;2668.725
13:45;2668.725
14:00;2270.89
14:15;2270.89
14:30;2822.895
14:45;2822.895
15:00;3266.255
15:15;3266.255
15:30;3065.455
15:45;3065.455
16:00;2545.82
16:15;2545.82
16:30;2078.045
16:45;2078.045
17:00;1601.015
17:15;1601.015
17:30;983.635
17:45;983.635
18:00;373.09
18:15;373.09
18:30;231.225
18:45;231.225
19:00;119.025
19:15;119.025
19:30;13.835
19:45;13.835
20:00;0
20:15;0
20:30;0
20:45;0
21:00;0
21:15;0
21:30;0
21:45;0
22:00;0
22:15;0
22:30;0
22:45;0
23:00;0
23:15;0
23:30;0
23:45;0
