INTERVAL;ENERGY(Wh)
00:00;2600
00:15;2600
00:30;2600
00:45;2600
01:00;2400
01:15;2400
01:30;2400
01:45;2400
02:00;2000
02:15;2000
02:30;2000
02:45;2000
03:00;1800
03:15;1800
03:30;1800
03:45;1800
04:00;2200
04:15;2200
04:30;2200
04:45;2200
05:00;3000
05:15;3000
05:30;3000
05:45;3000
06:00;3600
06:15;3600
06:30;3600
06:45;3600
07:00;3600
07:15;3600
07:30;3600
07:45;3600
08:00;3600
08:15;3600
08:30;3600
08:45;3600
09:00;4600
09:15;4600
09:30;4600
09:45;4600
10:00;4600
10:15;4600
10:30;4600
10:45;4600
11:00;5000
11:15;5000
11:30;5000
11:45;5000
12:00;5200
12:15;5200
12:30;5200
12:45;5200
13:00;5200
13:15;5200
13:30;5200
13:45;5200
14:00;5600
14:15;5600
14:30;5600
14:45;5600
15:00;6200
15:15;6200
15:30;6200
15:45;6200
16:00;7000
16:15;7000
16:30;7000
16:45;7000
17:00;6800
17:15;6800
17:30;6800
17:45;6800
18:00;6400
18:15;6400
18:30;6400
18:45;6400
19:00;6400
19:15;6400
19:30;6400
19:45;6400
20:00;6400
20:15;6400
20:30;6400
20:45;6400
21:00;5600
21:15;5600
21:30;5600
21:45;5600
22:00;4200
22:15;4200
22:30;4200
22:45;4200
23:00;3000
23:15;3000
23:30;3000
23:45;3000
