INTERVAL;REALISTICPOWER(W)
00:00;1500
00:15;1500
00:30;1500
00:45;1500
01:00;1500
01:15;1500
01:30;1500
01:45;1500
02:00;1500
02:15;1500
02:30;1500
02:45;1500
03:00;1500
03:15;1500
03:30;1500
03:45;1500
04:00;1500
04:15;1500
04:30;1500
04:45;1500
05:00;1500
05:15;1500
05:30;1500
05:45;1500
06:00;1500
06:15;1500
06:30;1500
06:45;1500
07:00;1500
07:15;1500
07:30;1500
07:45;1500
08:00;1500
08:15;1500
08:30;1500
08:45;1500
09:00;1500
09:15;1500
09:30;1500
09:45;1500
10:00;1500
10:15;1500
10:30;1500
10:45;1500
11:00;1500
11:15;1500
11:30;1500
11:45;1500
12:00;1500
12:15;1500
12:30;1500
12:45;1500
13:00;1500
13:15;1500
13:30;1500
13:45;1500
14:00;1500
14:15;1500
14:30;1500
14:45;1500
15:00;1500
15:15;1500
15:30;1500
15:45;1500
16:00;1500
16:15;1500
16:30;1500
16:45;1500
17:00;1500
17:15;1500
17:30;1500
17:45;1500
18:00;1500
18:15;1500
18:30;1500
18:45;1500
19:00;1500
19:15;1500
19:30;1500
19:45;1500
20:00;1500
20:15;1500
20:30;1500
20:45;1500
21:00;1500
21:15;1500
21:30;1500
21:45;1500
22:00;1500
22:15;1500
22:30;1500
22:45;1500
23:00;1500
23:15;1500
23:30;1500
23:45;1500
