INTERVAL;REALISTICPOWER(W)
00:00;6000
00:15;6000
00:30;6000
00:45;6000
01:00;6000
01:15;6000
01:30;6000
01:45;6000
02:00;6000
02:15;6000
02:30;6000
02:45;6000
03:00;6000
03:15;6000
03:30;6000
03:45;6000
04:00;6000
04:15;6000
04:30;6000
04:45;6000
05:00;6000
05:15;6000
05:30;6000
05:45;6000
06:00;6000
06:15;6000
06:30;6000
06:45;6000
07:00;6000
07:15;6000
07:30;6000
07:45;6000
08:00;6000
08:15;6000
08:30;6000
08:45;6000
09:00;6000
09:15;6000
09:30;6000
09:45;6000
10:00;6000
10:15;6000
10:30;6000
10:45;6000
11:00;6000
11:15;6000
11:30;6000
11:45;6000
12:00;6000
12:15;6000
12:30;6000
12:45;6000
13:00;6000
13:15;6000
13:30;6000
13:45;6000
14:00;6000
14:15;6000
14:30;6000
14:45;6000
15:00;6000
15:15;6000
15:30;6000
15:45;6000
16:00;6000
16:15;6000
16:30;6000
16:45;6000
17:00;6000
17:15;6000
17:30;6000
17:45;6000
18:00;6000
18:15;6000
18:30;6000
18:45;6000
19:00;6000
19:15;6000
19:30;6000
19:45;6000
20:00;6000
20:15;6000
20:30;6000
20:45;6000
21:00;6000
21:15;6000
21:30;6000
21:45;6000
22:00;6000
22:15;6000
22:30;6000
22:45;6000
23:00;6000
23:15;6000
23:30;6000
23:45;6000
