INTERVAL;POWER(W)
00:00;0
00:15;0
00:30;0
00:45;0
01:00;0
01:15;0
01:30;0
01:45;0
02:00;0
02:15;0
02:30;0
02:45;0
03:00;0
03:15;0
03:30;0
03:45;0
04:00;0
04:15;0
04:30;0
04:45;0
05:00;0
05:15;0
05:30;0
05:45;0
06:00;39
06:15;39
06:30;39
06:45;39
07:00;147
07:15;147
07:30;147
07:45;147
08:00;335
08:15;335
08:30;335
08:45;335
09:00;477
09:15;477
09:30;477
09:45;477
10:00;541
10:15;541
10:30;541
10:45;541
11:00;536
11:15;536
11:30;536
11:45;536
12:00;570
12:15;570
12:30;570
12:45;570
13:00;473
13:15;473
13:30;473
13:45;473
14:00;398
14:15;398
14:30;398
14:45;398
15:00;265
15:15;265
15:30;265
15:45;265
16:00;99
16:15;99
16:30;99
16:45;99
17:00;15
17:15;15
17:30;15
17:45;15
18:00;0
18:15;0
18:30;0
18:45;0
19:00;0
19:15;0
19:30;0
19:45;0
20:00;0
20:15;0
20:30;0
20:45;0
21:00;0
21:15;0
21:30;0
21:45;0
22:00;0
22:15;0
22:30;0
22:45;0
23:00;0
23:15;0
23:30;0
23:45;0
