Time,power
2021-07-01T00:00,81.621
2021-07-01T00:15,55.202
2021-07-01T00:30,54.539
2021-07-01T00:45,84.488
2021-07-01T01:00,67.581
2021-07-01T01:15,54.402
2021-07-01T01:30,53.208
2021-07-01T01:45,100.246
2021-07-01T02:00,54.892
2021-07-01T02:15,54.979
2021-07-01T02:30,55.839
2021-07-01T02:45,103.402
2021-07-01T03:00,55.543
2021-07-01T03:15,54.012
2021-07-01T03:30,93.751
2021-07-01T03:45,54.817
2021-07-01T04:00,55.487
2021-07-01T04:15,80.16
2021-07-01T04:30,71.697
2021-07-01T04:45,54.095
2021-07-01T05:00,72.316
2021-07-01T05:15,77.695
2021-07-01T05:30,54.545
2021-07-01T05:45,53.978
2021-07-01T06:00,94.832
2021-07-01T06:15,54.922
2021-07-01T06:30,54.931
2021-07-01T06:45,53.423
2021-07-01T07:00,96.5
2021-07-01T07:15,53.871
2021-07-01T07:30,54.659
2021-07-01T07:45,102.623
2021-07-01T08:00,174.634
2021-07-01T08:15,2034.26
2021-07-01T08:30,440.112
2021-07-01T08:45,93.8
2021-07-01T09:00,54.814
2021-07-01T09:15,53.331
2021-07-01T09:30,74.272
2021-07-01T09:45,75.798
2021-07-01T10:00,55.006
2021-07-01T10:15,54.852
2021-07-01T10:30,99.267
2021-07-01T10:45,53.937
2021-07-01T11:00,53.889
2021-07-01T11:15,54.789
2021-07-01T11:30,105.124
2021-07-01T11:45,54.495
2021-07-01T12:00,54.998
2021-07-01T12:15,53.877
2021-07-01T12:30,90.166
2021-07-01T12:45,65.95
2021-07-01T13:00,54.056
2021-07-01T13:15,53.729
2021-07-01T13:30,92.415
2021-07-01T13:45,71.37
2021-07-01T14:00,54.693
2021-07-01T14:15,54.64
2021-07-01T14:30,79.16
2021-07-01T14:45,76.831
2021-07-01T15:00,54.421
2021-07-01T15:15,54.881
2021-07-01T15:30,75.391
2021-07-01T15:45,86.389
2021-07-01T16:00,53.699
2021-07-01T16:15,53.619
2021-07-01T16:30,83.849
2021-07-01T16:45,78.544
2021-07-01T17:00,54.436
2021-07-01T17:15,53.456
2021-07-01T17:30,86.816
2021-07-01T17:45,66.287
2021-07-01T18:00,55.081
2021-07-01T18:15,54.386
2021-07-01T18:30,100.234
2021-07-01T18:45,494.033
2021-07-01T19:00,131.325
2021-07-01T19:15,103.825
2021-07-01T19:30,148.103
2021-07-01T19:45,103.902
2021-07-01T20:00,106.576
2021-07-01T20:15,93.571
2021-07-01T20:30,147.151
2021-07-01T20:45,96.997
2021-07-01T21:00,374.703
2021-07-01T21:15,129.539
2021-07-01T21:30,120.061
2021-07-01T21:45,74.872
2021-07-01T22:00,74.33
2021-07-01T22:15,74.55
2021-07-01T22:30,130.161
2021-07-01T22:45,74.351
2021-07-01T23:00,73.847
2021-07-01T23:15,92.813
2021-07-01T23:30,90.826
2021-07-01T23:45,54.029
2021-07-02T00:00,59.327
2021-07-02T00:15,89.947
2021-07-02T00:30,52.9
2021-07-02T00:45,56.227
2021-07-02T01:00,92.043
2021-07-02T01:15,54.561
2021-07-02T01:30,53.246
2021-07-02T01:45,82.109
2021-07-02T02:00,72.421
2021-07-02T02:15,53.837
2021-07-02T02:30,54.845
2021-07-02T02:45,100.884
2021-07-02T03:00,54.922
2021-07-02T03:15,54.591
2021-07-02T03:30,56.419
2021-07-02T03:45,103.303
2021-07-02T04:00,54.559
2021-07-02T04:15,54.342
2021-07-02T04:30,66.768
2021-07-02T04:45,85.61
2021-07-02T05:00,53.417
2021-07-02T05:15,53.971
2021-07-02T05:30,84.787
2021-07-02T05:45,64.752
2021-07-02T06:00,53.984
2021-07-02T06:15,54.611
2021-07-02T06:30,105.406
2021-07-02T06:45,54.836
2021-07-02T07:00,53.326
2021-07-02T07:15,89.192
2021-07-02T07:30,54.007
2021-07-02T07:45,55.141
2021-07-02T08:00,85.307
2021-07-02T08:15,61.222
2021-07-02T08:30,1241.652
2021-07-02T08:45,1239.275
2021-07-02T09:00,283.499
2021-07-02T09:15,282.64
2021-07-02T09:30,272.672
2021-07-02T09:45,315.086
2021-07-02T10:00,229.338
2021-07-02T10:15,54.773
2021-07-02T10:30,95.596
2021-07-02T10:45,55.927
2021-07-02T11:00,54.934
2021-07-02T11:15,82.788
2021-07-02T11:30,71.338
2021-07-02T11:45,54.022
2021-07-02T12:00,61.769
2021-07-02T12:15,80.773
2021-07-02T12:30,53.832
2021-07-02T12:45,54.27
2021-07-02T13:00,96.16
2021-07-02T13:15,53.754
2021-07-02T13:30,56.745
2021-07-02T13:45,92.174
2021-07-02T14:00,54.555
2021-07-02T14:15,54.774
2021-07-02T14:30,92.37
2021-07-02T14:45,57.452
2021-07-02T15:00,56.065
2021-07-02T15:15,54.194
2021-07-02T15:30,95.346
2021-07-02T15:45,54.048
2021-07-02T16:00,54.708
2021-07-02T16:15,104.932
2021-07-02T16:30,53.813
2021-07-02T16:45,53.162
2021-07-02T17:00,61.313
2021-07-02T17:15,86.971
2021-07-02T17:30,53.851
2021-07-02T17:45,54.159
2021-07-02T18:00,95.0
2021-07-02T18:15,2010.056
2021-07-02T18:30,1663.446
2021-07-02T18:45,153.071
2021-07-02T19:00,169.248
2021-07-02T19:15,162.528
2021-07-02T19:30,164.021
2021-07-02T19:45,203.913
2021-07-02T20:00,159.196
2021-07-02T20:15,141.418
2021-07-02T20:30,1625.534
2021-07-02T20:45,78.06
2021-07-02T21:00,101.97
2021-07-02T21:15,138.236
2021-07-02T21:30,133.597
2021-07-02T21:45,121.133
2021-07-02T22:00,122.599
2021-07-02T22:15,148.122
2021-07-02T22:30,114.675
2021-07-02T22:45,382.252
2021-07-02T23:00,94.819
2021-07-02T23:15,54.745
2021-07-02T23:30,53.794
2021-07-02T23:45,95.877
2021-07-03T00:00,54.305
2021-07-03T00:15,54.451
2021-07-03T00:30,62.044
2021-07-03T00:45,91.946
2021-07-03T01:00,55.448
2021-07-03T01:15,55.195
2021-07-03T01:30,69.533
2021-07-03T01:45,86.271
2021-07-03T02:00,53.956
2021-07-03T02:15,54.39
2021-07-03T02:30,93.072
2021-07-03T02:45,72.604
2021-07-03T03:00,54.131
2021-07-03T03:15,55.62
2021-07-03T03:30,69.464
2021-07-03T03:45,89.312
2021-07-03T04:00,53.581
2021-07-03T04:15,54.057
2021-07-03T04:30,54.29
2021-07-03T04:45,106.248
2021-07-03T05:00,54.005
2021-07-03T05:15,54.024
2021-07-03T05:30,54.276
2021-07-03T05:45,113.196
2021-07-03T06:00,54.665
2021-07-03T06:15,53.485
2021-07-03T06:30,52.804
2021-07-03T06:45,101.077
2021-07-03T07:00,53.242
2021-07-03T07:15,54.469
2021-07-03T07:30,1772.162
2021-07-03T07:45,788.589
2021-07-03T08:00,56.151
2021-07-03T08:15,55.135
2021-07-03T08:30,54.456
2021-07-03T08:45,109.827
2021-07-03T09:00,54.014
2021-07-03T09:15,53.782
2021-07-03T09:30,86.391
2021-07-03T09:45,56.017
2021-07-03T10:00,55.259
2021-07-03T10:15,84.99
2021-07-03T10:30,59.614
2021-07-03T10:45,55.481
2021-07-03T11:00,93.213
2021-07-03T11:15,54.201
2021-07-03T11:30,476.808
2021-07-03T11:45,267.352
2021-07-03T12:00,97.746
2021-07-03T12:15,54.943
2021-07-03T12:30,54.623
2021-07-03T12:45,70.006
2021-07-03T13:00,84.931
2021-07-03T13:15,54.389
2021-07-03T13:30,54.115
2021-07-03T13:45,104.993
2021-07-03T14:00,53.94
2021-07-03T14:15,54.683
2021-07-03T14:30,81.615
2021-07-03T14:45,64.75
2021-07-03T15:00,53.991
2021-07-03T15:15,74.527
2021-07-03T15:30,70.202
2021-07-03T15:45,55.601
2021-07-03T16:00,158.025
2021-07-03T16:15,170.673
2021-07-03T16:30,159.127
2021-07-03T16:45,169.962
2021-07-03T17:00,192.026
2021-07-03T17:15,165.092
2021-07-03T17:30,136.057
2021-07-03T17:45,145.115
2021-07-03T18:00,104.388
2021-07-03T18:15,107.731
2021-07-03T18:30,136.169
2021-07-03T18:45,715.242
2021-07-03T19:00,91.439
2021-07-03T19:15,108.862
2021-07-03T19:30,128.58
2021-07-03T19:45,340.109
2021-07-03T20:00,170.696
2021-07-03T20:15,89.164
2021-07-03T20:30,65.189
2021-07-03T20:45,53.72
2021-07-03T21:00,54.488
2021-07-03T21:15,100.691
2021-07-03T21:30,55.426
2021-07-03T21:45,54.05
2021-07-03T22:00,91.668
2021-07-03T22:15,54.495
2021-07-03T22:30,54.2
2021-07-03T22:45,79.885
2021-07-03T23:00,64.64
2021-07-03T23:15,54.584
2021-07-03T23:30,82.436
2021-07-03T23:45,71.305
2021-07-04T00:00,54.763
2021-07-04T00:15,54.123
2021-07-04T00:30,94.592
2021-07-04T00:45,53.941
2021-07-04T01:00,54.312
2021-07-04T01:15,68.487
2021-07-04T01:30,86.006
2021-07-04T01:45,54.188
2021-07-04T02:00,53.991
2021-07-04T02:15,104.718
2021-07-04T02:30,53.508
2021-07-04T02:45,54.308
2021-07-04T03:00,62.467
2021-07-04T03:15,92.1
2021-07-04T03:30,54.996
2021-07-04T03:45,54.517
2021-07-04T04:00,90.431
2021-07-04T04:15,59.182
2021-07-04T04:30,54.237
2021-07-04T04:45,63.225
2021-07-04T05:00,94.449
2021-07-04T05:15,54.064
2021-07-04T05:30,53.38
2021-07-04T05:45,62.273
2021-07-04T06:00,91.96
2021-07-04T06:15,54.658
2021-07-04T06:30,54.568
2021-07-04T06:45,65.184
2021-07-04T07:00,90.399
2021-07-04T07:15,54.275
2021-07-04T07:30,53.806
2021-07-04T07:45,82.692
2021-07-04T08:00,78.513
2021-07-04T08:15,53.518
2021-07-04T08:30,54.17
2021-07-04T08:45,94.335
2021-07-04T09:00,54.136
2021-07-04T09:15,55.036
2021-07-04T09:30,74.719
2021-07-04T09:45,74.668
2021-07-04T10:00,53.958
2021-07-04T10:15,56.687
2021-07-04T10:30,98.331
2021-07-04T10:45,53.736
2021-07-04T11:00,55.043
2021-07-04T11:15,89.384
2021-07-04T11:30,61.182
2021-07-04T11:45,53.901
2021-07-04T12:00,54.946
2021-07-04T12:15,95.298
2021-07-04T12:30,53.466
2021-07-04T12:45,53.532
2021-07-04T13:00,99.69
2021-07-04T13:15,445.168
2021-07-04T13:30,188.541
2021-07-04T13:45,112.358
2021-07-04T14:00,136.988
2021-07-04T14:15,103.793
2021-07-04T14:30,54.637
2021-07-04T14:45,95.381
2021-07-04T15:00,54.857
2021-07-04T15:15,77.981
2021-07-04T15:30,174.039
2021-07-04T15:45,147.079
2021-07-04T16:00,137.143
2021-07-04T16:15,117.915
2021-07-04T16:30,899.014
2021-07-04T16:45,1390.079
2021-07-04T17:00,677.533
2021-07-04T17:15,88.104
2021-07-04T17:30,142.745
2021-07-04T17:45,95.775
2021-07-04T18:00,96.65
2021-07-04T18:15,123.605
2021-07-04T18:30,116.453
2021-07-04T18:45,97.573
2021-07-04T19:00,95.741
2021-07-04T19:15,1953.445
2021-07-04T19:30,1461.916
2021-07-04T19:45,145.766
2021-07-04T20:00,169.458
