Time,power
2021-07-01T00:00,75.095
2021-07-0 
2021-07-01T02:30,75.363
2021-07-01T02:45,75.315
2021-07-01T03:00,158.576
2021-07-01T03:15,188.399
2021-07-01T03:30,164.857
2021-07-01T03:45,165.622
2021-07-01T04:00,159.06
2021-07-01T04:15,117.605
2021-07-01T04:30,70.167
2021-07-01T04:45,69.268
2021-07-01T05:00,74.846
2021-07-01T05:15,96.035
2021-07-01T05:30,70.965
2021-07-01T05:45,70.671
2021-07-01T06:00,80.208
2021-07-01T06:15,95.682
2021-07-01T06:30,980.517
2021-07-01T06:45,2067.664
2021-07-01T07:00,934.069
2021-07-01T07:15,889.885
2021-07-01T07:30,243.007
2021-07-01T07:45,236.46
2021-07-01T08:00,231.722
2021-07-01T08:15,113.421
2021-07-01T08:30,111.611
2021-07-01T08:45,70.05
2021-07-01T09:00,70.076
2021-07-01T09:15,70.269
2021-07-01T09:30,189.548
2021-07-01T09:45,158.286
2021-07-01T10:00,162.183
2021-07-01T10:15,93.57
2021-07-01T10:30,94.555
2021-07-01T10:45,86.23
2021-07-01T11:00,69.847
2021-07-01T11:15,70.258
2021-07-01T11:30,80.307
2021-07-01T11:45,91.507
2021-07-01T12:00,69.283
2021-07-01T12:15,69.047
2021-07-01T12:30,119.893
2021-07-01T12:45,166.044
2021-07-01T13:00,132.513
2021-07-01T13:15,134.603
2021-07-01T13:30,140.29
2021-07-01T13:45,218.733
2021-07-01T14:00,219.818
2021-07-01T14:15,217.753
2021-07-01T14:30,160.046
2021-07-01T14:45,164.19
2021-07-01T15:00,130.142
2021-07-01T15:15,129.32
2021-07-01T15:30,145.728
2021-07-01T15:45,219.104
2021-07-01T16:00,119.995
2021-07-01T16:15,119.841
2021-07-01T16:30,139.439
2021-07-01T16:45,168.036
2021-07-01T17:00,134.114
2021-07-01T17:15,131.632
2021-07-01T17:30,188.818
2021-07-01T17:45,272.385
2021-07-01T18:00,218.448
2021-07-01T18:15,871.022
2021-07-01T18:30,2243.378
2021-07-01T18:45,1910.203
2021-07-01T19:00,250.27
2021-07-01T19:15,1366.422
2021-07-01T19:30,2087.947
2021-07-01T19:45,2275.627
2021-07-01T20:00,3419.072
2021-07-01T20:15,2318.162
2021-07-01T20:30,1010.992
2021-07-01T20:45,429.181
2021-07-01T21:00,2178.055
2021-07-01T21:15,515.878
2021-07-01T21:30,176.873
2021-07-01T21:45,294.229
2021-07-01T22:00,312.153
2021-07-01T22:15,362.645
2021-07-01T22:30,312.489
2021-07-01T22:45,317.269
2021-07-01T23:00,352.854
2021-07-01T23:15,257.897
2021-07-01T23:30,162.8
2021-07-01T23:45,161.575
2021-07-02T00:00,77.098
2021-07-02T00:15,91.043
2021-07-02T00:30,87.94
2021-07-02T00:45,70.1
2021-07-02T01:00,69.832
2021-07-02T01:15,70.176
2021-07-02T01:30,112.54
2021-07-02T01:45,67.901
2021-07-02T02:00,69.973
2021-07-02T02:15,68.163
2021-07-02T02:30,102.001
2021-07-02T02:45,69.948
2021-07-02T03:00,69.211
2021-07-02T03:15,75.964
2021-07-02T03:30,131.15
2021-07-02T03:45,157.752
2021-07-02T04:00,159.284
2021-07-02T04:15,155.803
2021-07-02T04:30,156.43
2021-07-02T04:45,70.349
2021-07-02T05:00,68.905
2021-07-02T05:15,70.326
2021-07-02T05:30,107.879
2021-07-02T05:45,69.703
2021-07-02T06:00,68.918
2021-07-02T06:15,1262.687
2021-07-02T06:30,1882.69
2021-07-02T06:45,1809.358
2021-07-02T07:00,1402.698
2021-07-02T07:15,1099.156
2021-07-02T07:30,120.379
2021-07-02T07:45,114.416
2021-07-02T08:00,133.421
2021-07-02T08:15,128.264
