Time,power
2021-07-01T00:00,45.542
2021-07-01T00:15,81.371
2021-07-01T00:30,46.469
2021-07-01T00:45,46.01
2021-07-01T01:00,46.116
2021-07-01T01:15,65.843
2021-07-01T01:30,61.815
2021-07-01T01:45,46.607
2021-07-01T02:00,45.744
2021-07-01T02:15,51.581
2021-07-01T02:30,82.196
2021-07-01T02:45,45.358
2021-07-01T03:00,44.653
2021-07-01T03:15,45.693
2021-07-01T03:30,88.187
2021-07-01T03:45,45.494
2021-07-01T04:00,45.327
2021-07-01T04:15,45.032
2021-07-01T04:30,75.521
2021-07-01T04:45,55.778
2021-07-01T05:00,45.541
2021-07-01T05:15,44.814
2021-07-01T05:30,77.402
2021-07-01T05:45,44.567
2021-07-01T06:00,1002.878
2021-07-01T06:15,616.721
2021-07-01T06:30,780.452
2021-07-01T06:45,863.143
2021-07-01T07:00,892.428
2021-07-01T07:15,293.889
2021-07-01T07:30,87.907
2021-07-01T07:45,113.715
2021-07-01T08:00,120.981
2021-07-01T08:15,143.196
2021-07-01T08:30,138.219
2021-07-01T08:45,120.766
2021-07-01T09:00,121.495
2021-07-01T09:15,136.572
2021-07-01T09:30,119.744
2021-07-01T09:45,214.251
2021-07-01T10:00,1513.245
2021-07-01T10:15,2962.692
2021-07-01T10:30,923.971
2021-07-01T10:45,182.405
2021-07-01T11:00,196.653
2021-07-01T11:15,208.195
2021-07-01T11:30,223.83
2021-07-01T11:45,858.054
2021-07-01T12:00,170.534
2021-07-01T12:15,169.524
2021-07-01T12:30,62.802
2021-07-01T12:45,45.558
2021-07-01T13:00,46.064
2021-07-01T13:15,618.139
2021-07-01T13:30,2156.749
2021-07-01T13:45,851.757
2021-07-01T14:00,127.424
2021-07-01T14:15,174.521
2021-07-01T14:30,155.059
2021-07-01T14:45,685.285
2021-07-01T15:00,241.838
2021-07-01T15:15,66.413
2021-07-01T15:30,67.322
2021-07-01T15:45,44.887
2021-07-01T16:00,58.445
2021-07-01T16:15,113.225
2021-07-01T16:30,92.56
2021-07-01T16:45,86.62
2021-07-01T17:00,82.472
2021-07-01T17:15,80.618
2021-07-01T17:30,42.668
2021-07-01T17:45,43.528
2021-07-01T18:00,42.729
2021-07-01T18:15,104.892
2021-07-01T18:30,124.83
2021-07-01T18:45,120.728
2021-07-01T19:00,118.393
2021-07-01T19:15,165.734
2021-07-01T19:30,121.41
2021-07-01T19:45,120.567
2021-07-01T20:00,343.487
2021-07-01T20:15,1213.487
2021-07-01T20:30,75.219
