Time,power
2021-07-01T00:00,231.841
2021-07-01T00:15,203.535
2021-07-01T00:30,74.275
2021-07-01T00:45,55.359
2021-07-01T01:00,104.763
2021-07-01T01:15,54.251
2021-07-01T01:30,54.249
2021-07-01T01:45,56.575
2021-07-01T02:00,97.123
2021-07-01T02:15,55.666
2021-07-01T02:30,53.681
2021-07-01T02:45,64.6
2021-07-01T03:00,89.735
2021-07-01T03:15,54.89
2021-07-01T03:30,54.2
2021-07-01T03:45,93.986
2021-07-01T04:00,65.838
2021-07-01T04:15,55.324
2021-07-01T04:30,65.594
2021-07-01T04:45,81.549
2021-07-01T05:00,627.719
2021-07-01T05:15,200.15
2021-07-01T05:30,85.947
2021-07-01T05:45,53.556
2021-07-01T06:00,70.027
2021-07-01T06:15,79.254
2021-07-01T06:30,54.268
2021-07-01T06:45,447.797
2021-07-01T07:00,2112.644
2021-07-01T07:15,74.873
2021-07-01T07:30,1441.532
2021-07-01T07:45,69.249
2021-07-01T08:00,105.778
2021-07-01T08:15,223.695
2021-07-01T08:30,1777.63
2021-07-01T08:45,658.713
2021-07-01T09:00,700.361
2021-07-01T09:15,61.96
2021-07-01T09:30,54.001
2021-07-01T09:45,88.81
2021-07-01T10:00,61.589
2021-07-01T10:15,55.21
2021-07-01T10:30,53.661
2021-07-01T10:45,95.324
2021-07-01T11:00,55.249
2021-07-01T11:15,53.766
2021-07-01T11:30,99.728
2021-07-01T11:45,54.66
2021-07-01T12:00,54.239
2021-07-01T12:15,86.294
2021-07-01T12:30,1491.224
2021-07-01T12:45,55.166
2021-07-01T13:00,1423.542
2021-07-01T13:15,71.28
2021-07-01T13:30,54.36
2021-07-01T13:45,76.871
2021-07-01T14:00,427.01
2021-07-01T14:15,1393.068
2021-07-01T14:30,677.536
2021-07-01T14:45,105.271
2021-07-01T15:00,78.153
2021-07-01T15:15,76.194
2021-07-01T15:30,115.502
2021-07-01T15:45,77.266
2021-07-01T16:00,76.011
2021-07-01T16:15,123.653
2021-07-01T16:30,76.081
2021-07-01T16:45,77.151
2021-07-01T17:00,349.68
2021-07-01T17:15,695.899
2021-07-01T17:30,254.54
