INTERVAL;REALISTICPOWER(W)
00:00;1031
00:15;1031
00:30;1031
00:45;1031
01:00;952
01:15;952
01:30;952
01:45;952
02:00;793
02:15;793
02:30;793
02:45;793
03:00;714
03:15;714
03:30;714
03:45;714
04:00;872
04:15;872
04:30;872
04:45;872
05:00;1190
05:15;1190
05:30;1190
05:45;1190
06:00;1428
06:15;1428
06:30;1428
06:45;1428
07:00;1428
07:15;1428
07:30;1428
07:45;1428
08:00;1428
08:15;1428
08:30;1428
08:45;1428
09:00;1824
09:15;1824
09:30;1824
09:45;1824
10:00;1824
10:15;1824
10:30;1824
10:45;1824
11:00;1983
11:15;1983
11:30;1983
11:45;1983
12:00;2062
12:15;2062
12:30;2062
12:45;2062
13:00;2062
13:15;2062
13:30;2062
13:45;2062
14:00;2221
14:15;2221
14:30;2221
14:45;2221
15:00;2459
15:15;2459
15:30;2459
15:45;2459
16:00;2776
16:15;2776
16:30;2776
16:45;2776
17:00;2697
17:15;2697
17:30;2697
17:45;2697
18:00;2538
18:15;2538
18:30;2538
18:45;2538
19:00;2538
19:15;2538
19:30;2538
19:45;2538
20:00;2538
20:15;2538
20:30;2538
20:45;2538
21:00;2221
21:15;2221
21:30;2221
21:45;2221
22:00;1666
22:15;1666
22:30;1666
22:45;1666
23:00;1190
23:15;1190
23:30;1190
23:45;1190
