slot,rate [ct./kWh]
2026-05-12T00:00,30.0
2026-05-12T00:15,30.0
2026-05-12T00:30,30.0
2026-05-12T00:45,30.0
2026-05-12T01:00,30.0
2026-05-12T01:15,30.0
2026-05-12T01:30,30.0
2026-05-12T01:45,30.0
2026-05-12T02:00,30.0
2026-05-12T02:15,30.0
2026-05-12T02:30,30.0
2026-05-12T02:45,30.0
2026-05-12T03:00,30.0
2026-05-12T03:15,30.0
2026-05-12T03:30,30.0
2026-05-12T03:45,30.0
2026-05-12T04:00,30.0
2026-05-12T04:15,30.0
2026-05-12T04:30,30.0
2026-05-12T04:45,30.0
2026-05-12T05:00,30.0
2026-05-12T05:15,30.0
2026-05-12T05:30,30.0
2026-05-12T05:45,30.0
2026-05-12T06:00,30.0
2026-05-12T06:15,30.0
2026-05-12T06:30,30.0
2026-05-12T06:45,30.0
2026-05-12T07:00,30.0
2026-05-12T07:15,30.0
2026-05-12T07:30,30.0
2026-05-12T07:45,30.0
2026-05-12T08:00,22.5
2026-05-12T08:15,22.5
2026-05-12T08:30,22.5
2026-05-12T08:45,22.5
2026-05-12T09:00,15.0
2026-05-12T09:15,15.0
2026-05-12T09:30,15.0
2026-05-12T09:45,15.0
2026-05-12T10:00,15.0
2026-05-12T10:15,15.0
2026-05-12T10:30,15.0
2026-05-12T10:45,15.0
2026-05-12T11:00,15.0
2026-05-12T11:15,15.0
2026-05-12T11:30,15.0
2026-05-12T11:45,15.0
2026-05-12T12:00,15.0
2026-05-12T12:15,15.0
2026-05-12T12:30,15.0
2026-05-12T12:45,15.0
2026-05-12T13:00,15.0
2026-05-12T13:15,15.0
2026-05-12T13:30,15.0
2026-05-12T13:45,15.0
2026-05-12T14:00,15.0
2026-05-12T14:15,15.0
2026-05-12T14:30,15.0
2026-05-12T14:45,15.0
2026-05-12T15:00,15.0
2026-05-12T15:15,15.0
2026-05-12T15:30,15.0
2026-05-12T15:45,15.0
2026-05-12T16:00,15.0
2026-05-12T16:15,15.0
2026-05-12T16:30,15.0
2026-05-12T16:45,30.0
2026-05-12T17:00,30.0
2026-05-12T17:15,30.0
2026-05-12T17:30,30.0
2026-05-12T17:45,30.0
2026-05-12T18:00,30.0
2026-05-12T18:15,30.0
2026-05-12T18:30,30.0
2026-05-12T18:45,30.0
2026-05-12T19:00,30.0
2026-05-12T19:15,30.0
2026-05-12T19:30,30.0
2026-05-12T19:45,30.0
2026-05-12T20:00,30.0
2026-05-12T20:15,30.0
2026-05-12T20:30,30.0
2026-05-12T20:45,30.0
2026-05-12T21:00,30.0
2026-05-12T21:15,30.0
