Date,Pm
00:00,-196.0
00:15,-180.0
00:30,-188.0
00:45,-180.0
01:00,-196.0
01:15,-188.0
01:30,-180.0
01:45,-188.0
02:00,-180.0
02:15,-192.0
02:30,-196.0
02:45,-184.0
03:00,-184.0
03:15,-180.0
03:30,-188.0
03:45,-196.0
04:00,-192.0
04:15,-184.0
04:30,-180.0
04:45,-188.0
05:00,-192.0
05:15,-192.0
05:30,-188.0
05:45,-184.0
06:00,-192.0
06:15,-180.0
06:30,-196.0
06:45,-192.0
07:00,-184.0
07:15,-192.0
07:30,-180.0
07:45,-192.0
08:00,-196.0
08:15,-180.0
08:30,-188.0
08:45,-180.0
09:00,-188.0
09:15,-204.0
09:30,-192.0
09:45,-188.0
10:00,-180.0
10:15,-188.0
10:30,-188.0
10:45,-196.0
11:00,-184.0
11:15,-184.0
11:30,-188.0
11:45,-184.0
12:00,-204.0
12:15,-192.0
12:30,-184.0
12:45,-184.0
13:00,-180.0
13:15,-200.0
13:30,-172.0
13:45,-188.0
14:00,-180.0
14:15,-184.0
14:30,-188.0
14:45,-188.0
15:00,-184.0
15:15,-180.0
15:30,-184.0
15:45,-184.0
16:00,-196.0
16:15,-184.0
16:30,-180.0
16:45,-188.0
17:00,-176.0
17:15,-196.0
17:30,-184.0
17:45,-188.0
18:00,-184.0
18:15,-180.0
18:30,-184.0
18:45,-192.0
19:00,-192.0
19:15,-180.0
19:30,-180.0
19:45,-184.0
20:00,-180.0
20:15,-192.0
20:30,-180.0
20:45,-188.0
21:00,-180.0
21:15,-180.0
21:30,-196.0
21:45,-184.0
22:00,-184.0
22:15,-180.0
22:30,-188.0
22:45,-188.0
23:00,-192.0
23:15,-180.0
23:30,-180.0
23:45,-184.0
