Date,Pm
00:00,64.0
00:15,68.0
00:30,68.0
00:45,60.0
01:00,68.0
01:15,76.0
01:30,80.0
01:45,80.0
02:00,84.0
02:15,76.0
02:30,80.0
02:45,76.0
03:00,76.0
03:15,76.0
03:30,84.0
03:45,76.0
04:00,76.0
04:15,80.0
04:30,72.0
04:45,80.0
05:00,76.0
05:15,64.0
05:30,64.0
05:45,60.0
06:00,60.0
06:15,80.0
06:30,80.0
06:45,84.0
07:00,88.0
07:15,84.0
07:30,84.0
07:45,96.0
08:00,96.0
08:15,148.0
08:30,192.0
08:45,188.0
09:00,212.0
09:15,212.0
09:30,208.0
09:45,224.0
10:00,224.0
10:15,228.0
10:30,232.0
10:45,232.0
11:00,224.0
11:15,228.0
11:30,236.0
11:45,232.0
12:00,224.0
12:15,232.0
12:30,224.0
12:45,220.0
13:00,228.0
13:15,224.0
13:30,224.0
13:45,224.0
14:00,228.0
14:15,216.0
14:30,220.0
14:45,220.0
15:00,228.0
15:15,216.0
15:30,224.0
15:45,220.0
16:00,224.0
16:15,216.0
16:30,216.0
16:45,208.0
17:00,196.0
17:15,148.0
17:30,140.0
17:45,136.0
18:00,132.0
18:15,84.0
18:30,72.0
18:45,72.0
19:00,72.0
19:15,76.0
19:30,64.0
19:45,72.0
20:00,72.0
20:15,60.0
20:30,68.0
20:45,64.0
21:00,68.0
21:15,64.0
21:30,64.0
21:45,64.0
22:00,68.0
22:15,64.0
22:30,68.0
22:45,64.0
23:00,64.0
23:15,60.0
23:30,68.0
23:45,64.0
