Time,power
2021-07-01T00:00,0
2021-07-01T00:15,0
2021-07-01T00:30,0
2021-07-01T00:45,0
2021-07-01T01:00,0
2021-07-01T01:15,0
2021-07-01T01:30,0
2021-07-01T01:45,0
2021-07-01T02:00,0
2021-07-01T02:15,0
2021-07-01T02:30,0
2021-07-01T02:45,0
2021-07-01T03:00,0
2021-07-01T03:15,7.5
2021-07-01T03:30,15
2021-07-01T03:45,22.5
2021-07-01T04:00,30
2021-07-01T04:15,45
2021-07-01T04:30,60
2021-07-01T04:45,75
2021-07-01T05:00,90
2021-07-01T05:15,102.5
2021-07-01T05:30,115
2021-07-01T05:45,127.5
2021-07-01T06:00,140
2021-07-01T06:15,177.5
2021-07-01T06:30,215
2021-07-01T06:45,252.5
2021-07-01T07:00,290
2021-07-01T07:15,312.5
2021-07-01T07:30,335
2021-07-01T07:45,357.5
2021-07-01T08:00,380
2021-07-01T08:15,397.5
2021-07-01T08:30,415
2021-07-01T08:45,432.5
2021-07-01T09:00,450
2021-07-01T09:15,475
2021-07-01T09:30,500
2021-07-01T09:45,525
2021-07-01T10:00,550
2021-07-01T10:15,542.5
2021-07-01T10:30,535
2021-07-01T10:45,527.5
2021-07-01T11:00,520
2021-07-01T11:15,507.5
2021-07-01T11:30,495
2021-07-01T11:45,482.5
2021-07-01T12:00,470
2021-07-01T12:15,445
2021-07-01T12:30,420
2021-07-01T12:45,395
2021-07-01T13:00,370
2021-07-01T13:15,372.5
2021-07-01T13:30,375
2021-07-01T13:45,377.5
2021-07-01T14:00,380
2021-07-01T14:15,385
2021-07-01T14:30,390
2021-07-01T14:45,395
2021-07-01T15:00,400
2021-07-01T15:15,375
2021-07-01T15:30,350
2021-07-01T15:45,325
2021-07-01T16:00,300
2021-07-01T16:15,255
2021-07-01T16:30,210
2021-07-01T16:45,165
2021-07-01T17:00,120
2021-07-01T17:15,92.5
2021-07-01T17:30,65
2021-07-01T17:45,37.5
2021-07-01T18:00,10
2021-07-01T18:15,7.5
2021-07-01T18:30,5
2021-07-01T18:45,2.5
2021-07-01T19:00,0
2021-07-01T19:15,0
2021-07-01T19:30,0
2021-07-01T19:45,0
2021-07-01T20:00,0
2021-07-01T20:15,0
2021-07-01T20:30,0
2021-07-01T20:45,0
2021-07-01T21:00,0
2021-07-01T21:15,0
2021-07-01T21:30,0
2021-07-01T21:45,0
2021-07-01T22:00,0
2021-07-01T22:15,0
2021-07-01T22:30,0
2021-07-01T22:45,0
2021-07-01T23:00,0
2021-07-01T23:15,0
2021-07-01T23:30,0
2021-07-01T23:45,0
2021-07-02T00:00,0
2021-07-02T00:15,0
2021-07-02T00:30,0
2021-07-02T00:45,0
2021-07-02T01:00,0
2021-07-02T01:15,0
2021-07-02T01:30,0
2021-07-02T01:45,0
2021-07-02T02:00,0
2021-07-02T02:15,0
2021-07-02T02:30,0
2021-07-02T02:45,0
2021-07-02T03:00,0
2021-07-02T03:15,7.5
2021-07-02T03:30,15
2021-07-02T03:45,22.5
2021-07-02T04:00,30
2021-07-02T04:15,47.5
2021-07-02T04:30,65
2021-07-02T04:45,82.5
2021-07-02T05:00,100
2021-07-02T05:15,125
2021-07-02T05:30,150
2021-07-02T05:45,175
2021-07-02T06:00,200
2021-07-02T06:15,215
2021-07-02T06:30,230
2021-07-02T06:45,245
2021-07-02T07:00,260
2021-07-02T07:15,282.5
2021-07-02T07:30,305
2021-07-02T07:45,327.5
2021-07-02T08:00,350
2021-07-02T08:15,367.5
2021-07-02T08:30,385
2021-07-02T08:45,402.5
2021-07-02T09:00,420
2021-07-02T09:15,452.5
2021-07-02T09:30,485
2021-07-02T09:45,517.5
2021-07-02T10:00,550
2021-07-02T10:15,555
2021-07-02T10:30,560
2021-07-02T10:45,565
2021-07-02T11:00,570
2021-07-02T11:15,547.5
2021-07-02T11:30,525
2021-07-02T11:45,502.5
2021-07-02T12:00,480
2021-07-02T12:15,470
2021-07-02T12:30,460
2021-07-02T12:45,450
2021-07-02T13:00,440
2021-07-02T13:15,450
2021-07-02T13:30,460
2021-07-02T13:45,470
2021-07-02T14:00,480
2021-07-02T14:15,462.5
2021-07-02T14:30,445
2021-07-02T14:45,427.5
2021-07-02T15:00,410
2021-07-02T15:15,382.5
2021-07-02T15:30,355
2021-07-02T15:45,327.5
2021-07-02T16:00,300
2021-07-02T16:15,255
2021-07-02T16:30,210
2021-07-02T16:45,165
2021-07-02T17:00,120
2021-07-02T17:15,92.5
2021-07-02T17:30,65
2021-07-02T17:45,37.5
2021-07-02T18:00,10
2021-07-02T18:15,7.5
2021-07-02T18:30,5
2021-07-02T18:45,2.5
2021-07-02T19:00,0
2021-07-02T19:15,0
2021-07-02T19:30,0
2021-07-02T19:45,0
2021-07-02T20:00,0
2021-07-02T20:15,0
2021-07-02T20:30,0
2021-07-02T20:45,0
2021-07-02T21:00,0
2021-07-02T21:15,0
2021-07-02T21:30,0
2021-07-02T21:45,0
2021-07-02T22:00,0
2021-07-02T22:15,0
2021-07-02T22:30,0
2021-07-02T22:45,0
2021-07-02T23:00,0
2021-07-02T23:15,0
2021-07-02T23:30,0
2021-07-02T23:45,0
2021-07-03T00:00,0
2021-07-03T00:15,0
2021-07-03T00:30,0
2021-07-03T00:45,0
2021-07-03T01:00,0
2021-07-03T01:15,0
2021-07-03T01:30,0
2021-07-03T01:45,0
2021-07-03T02:00,0
2021-07-03T02:15,0
2021-07-03T02:30,0
2021-07-03T02:45,0
2021-07-03T03:00,0
2021-07-03T03:15,7.5
2021-07-03T03:30,15
2021-07-03T03:45,22.5
2021-07-03T04:00,30
2021-07-03T04:15,47.5
2021-07-03T04:30,65
2021-07-03T04:45,82.5
2021-07-03T05:00,100
2021-07-03T05:15,127.5
2021-07-03T05:30,155
2021-07-03T05:45,182.5
2021-07-03T06:00,210
2021-07-03T06:15,240
2021-07-03T06:30,270
2021-07-03T06:45,300
2021-07-03T07:00,330
2021-07-03T07:15,345
2021-07-03T07:30,360
2021-07-03T07:45,375
2021-07-03T08:00,390
2021-07-03T08:15,400
2021-07-03T08:30,410
2021-07-03T08:45,420
2021-07-03T09:00,430
2021-07-03T09:15,412.5
2021-07-03T09:30,395
2021-07-03T09:45,377.5
2021-07-03T10:00,360
2021-07-03T10:15,335
2021-07-03T10:30,310
2021-07-03T10:45,285
2021-07-03T11:00,260
2021-07-03T11:15,265
2021-07-03T11:30,270
2021-07-03T11:45,275
2021-07-03T12:00,280
2021-07-03T12:15,272.5
2021-07-03T12:30,265
2021-07-03T12:45,257.5
2021-07-03T13:00,250
2021-07-03T13:15,250
2021-07-03T13:30,250
2021-07-03T13:45,250
2021-07-03T14:00,250
2021-07-03T14:15,230
2021-07-03T14:30,210
2021-07-03T14:45,190
2021-07-03T15:00,170
2021-07-03T15:15,167.5
2021-07-03T15:30,165
2021-07-03T15:45,162.5
2021-07-03T16:00,160
2021-07-03T16:15,150
2021-07-03T16:30,140
2021-07-03T16:45,130
2021-07-03T17:00,120
2021-07-03T17:15,95
2021-07-03T17:30,70
2021-07-03T17:45,45
2021-07-03T18:00,20
2021-07-03T18:15,15
2021-07-03T18:30,10
2021-07-03T18:45,5
2021-07-03T19:00,0
2021-07-03T19:15,0
2021-07-03T19:30,0
2021-07-03T19:45,0
2021-07-03T20:00,0
2021-07-03T20:15,0
2021-07-03T20:30,0
2021-07-03T20:45,0
2021-07-03T21:00,0
2021-07-03T21:15,0
2021-07-03T21:30,0
2021-07-03T21:45,0
2021-07-03T22:00,0
2021-07-03T22:15,0
2021-07-03T22:30,0
2021-07-03T22:45,0
2021-07-03T23:00,0
2021-07-03T23:15,0
2021-07-03T23:30,0
2021-07-03T23:45,0
2021-07-04T00:00,0
2021-07-04T00:15,0
2021-07-04T00:30,0
2021-07-04T00:45,0
2021-07-04T01:00,0
2021-07-04T01:15,0
2021-07-04T01:30,0
2021-07-04T01:45,0
2021-07-04T02:00,0
2021-07-04T02:15,0
2021-07-04T02:30,0
2021-07-04T02:45,0
2021-07-04T03:00,0
2021-07-04T03:15,7.5
2021-07-04T03:30,15
2021-07-04T03:45,22.5
2021-07-04T04:00,30
2021-07-04T04:15,47.5
2021-07-04T04:30,65
2021-07-04T04:45,82.5
2021-07-04T05:00,100
2021-07-04T05:15,127.5
2021-07-04T05:30,155
2021-07-04T05:45,182.5
2021-07-04T06:00,210
2021-07-04T06:15,240
2021-07-04T06:30,270
2021-07-04T06:45,300
2021-07-04T07:00,330
2021-07-04T07:15,360
2021-07-04T07:30,390
2021-07-04T07:45,420
2021-07-04T08:00,450
2021-07-04T08:15,480
2021-07-04T08:30,510
2021-07-04T08:45,540
2021-07-04T09:00,570
2021-07-04T09:15,592.5
2021-07-04T09:30,615
2021-07-04T09:45,637.5
2021-07-04T10:00,660
2021-07-04T10:15,662.5
2021-07-04T10:30,665
2021-07-04T10:45,667.5
2021-07-04T11:00,670
2021-07-04T11:15,655
2021-07-04T11:30,640
2021-07-04T11:45,625
2021-07-04T12:00,610
2021-07-04T12:15,605
2021-07-04T12:30,600
2021-07-04T12:45,595
2021-07-04T13:00,590
2021-07-04T13:15,572.5
2021-07-04T13:30,555
2021-07-04T13:45,537.5
2021-07-04T14:00,520
2021-07-04T14:15,470
2021-07-04T14:30,420
2021-07-04T14:45,370
2021-07-04T15:00,320
2021-07-04T15:15,297.5
2021-07-04T15:30,275
2021-07-04T15:45,252.5
2021-07-04T16:00,230
2021-07-04T16:15,202.5
2021-07-04T16:30,175
2021-07-04T16:45,147.5
2021-07-04T17:00,120
2021-07-04T17:15,92.5
2021-07-04T17:30,65
2021-07-04T17:45,37.5
2021-07-04T18:00,10
2021-07-04T18:15,7.5
2021-07-04T18:30,5
2021-07-04T18:45,2.5
2021-07-04T19:00,0
2021-07-04T19:15,0
2021-07-04T19:30,0
2021-07-04T19:45,0
2021-07-04T20:00,0
