Time,power
2021-07-01T00:00,88.218
2021-07-01T00:15,41.959
2021-07-01T00:30,42.175
2021-07-01T00:45,70.233
2021-07-01T01:00,64.31
2021-07-01T01:15,42.137
2021-07-01T01:30,41.624
2021-07-01T01:45,81.641
2021-07-01T02:00,41.8
2021-07-01T02:15,42.744
2021-07-01T02:30,52.834
2021-07-01T02:45,72.781
2021-07-01T03:00,41.903
2021-07-01T03:15,41.826
2021-07-01T03:30,86.688
2021-07-01T03:45,42.199
2021-07-01T04:00,41.972
2021-07-01T04:15,59.878
2021-07-01T04:30,138.013
2021-07-01T04:45,61.82
2021-07-01T05:00,82.299
2021-07-01T05:15,137.037
2021-07-01T05:30,92.844
2021-07-01T05:45,290.073
2021-07-01T06:00,172.909
2021-07-01T06:15,62.017
2021-07-01T06:30,1086.39
2021-07-01T06:45,959.363
2021-07-01T07:00,317.702
2021-07-01T07:15,267.919
2021-07-01T07:30,262.269
2021-07-01T07:45,267.578
2021-07-01T08:00,315.37
2021-07-01T08:15,176.834
2021-07-01T08:30,41.814
2021-07-01T08:45,49.252
2021-07-01T09:00,84.947
2021-07-01T09:15,42.1
2021-07-01T09:30,42.153
2021-07-01T09:45,77.242
2021-07-01T10:00,41.88
2021-07-01T10:15,42.32
2021-07-01T10:30,66.493
2021-07-01T10:45,57.931
2021-07-01T11:00,41.417
2021-07-01T11:15,59.542
2021-07-01T11:30,69.764
2021-07-01T11:45,41.635
2021-07-01T12:00,41.602
2021-07-01T12:15,81.631
2021-07-01T12:30,42.052
2021-07-01T12:45,41.799
2021-07-01T13:00,72.385
2021-07-01T13:15,52.359
2021-07-01T13:30,41.517
2021-07-01T13:45,54.958
2021-07-01T14:00,1446.542
2021-07-01T14:15,41.668
2021-07-01T14:30,42.686
2021-07-01T14:45,109.895
2021-07-01T15:00,82.54
2021-07-01T15:15,82.948
2021-07-01T15:30,112.36
2021-07-01T15:45,93.649
2021-07-01T16:00,83.994
2021-07-01T16:15,101.535
2021-07-01T16:30,110.14
2021-07-01T16:45,42.626
2021-07-01T17:00,53.786
2021-07-01T17:15,63.819
2021-07-01T17:30,42.5
2021-07-01T17:45,180.934
2021-07-01T18:00,201.507
2021-07-01T18:15,733.786
2021-07-01T18:30,1260.656
2021-07-01T18:45,2084.484
2021-07-01T19:00,2880.713
2021-07-01T19:15,1780.375
2021-07-01T19:30,1038.038
2021-07-01T19:45,904.456
2021-07-01T20:00,392.145
2021-07-01T20:15,155.407
2021-07-01T20:30,94.206
2021-07-01T20:45,42.097
2021-07-01T21:00,42.048
2021-07-01T21:15,90.221
2021-07-01T21:30,117.431
2021-07-01T21:45,141.859
2021-07-01T22:00,142.535
2021-07-01T22:15,187.06
2021-07-01T22:30,143.586
2021-07-01T22:45,141.996
2021-07-01T23:00,115.467
2021-07-01T23:15,87.667
2021-07-01T23:30,43.152
2021-07-01T23:45,42.492
2021-07-02T00:00,41.341
2021-07-02T00:15,97.712
2021-07-02T00:30,41.699
2021-07-02T00:45,42.104
2021-07-02T01:00,76.208
2021-07-02T01:15,41.624
2021-07-02T01:30,42.019
2021-07-02T01:45,77.054
2021-07-02T02:00,41.908
2021-07-02T02:15,41.914
2021-07-02T02:30,77.25
2021-07-02T02:45,42.195
2021-07-02T03:00,42.174
2021-07-02T03:15,74.928
2021-07-02T03:30,114.319
2021-07-02T03:45,141.911
2021-07-02T04:00,141.855
2021-07-02T04:15,183.384
2021-07-02T04:30,142.233
2021-07-02T04:45,69.07
2021-07-02T05:00,85.331
2021-07-02T05:15,106.257
2021-07-02T05:30,103.229
2021-07-02T05:45,105.91
2021-07-02T06:00,902.761
2021-07-02T06:15,692.68
2021-07-02T06:30,1082.218
2021-07-02T06:45,308.541
2021-07-02T07:00,300.026
2021-07-02T07:15,262.134
2021-07-02T07:30,262.768
2021-07-02T07:45,320.294
2021-07-02T08:00,266.494
2021-07-02T08:15,715.741
2021-07-02T08:30,1031.93
2021-07-02T08:45,986.82
2021-07-02T09:00,892.341
2021-07-02T09:15,840.368
2021-07-02T09:30,898.937
2021-07-02T09:45,805.756
2021-07-02T10:00,473.213
2021-07-02T10:15,82.16
2021-07-02T10:30,41.906
2021-07-02T10:45,41.63
2021-07-02T11:00,59.715
2021-07-02T11:15,64.536
2021-07-02T11:30,41.932
2021-07-02T11:45,41.12
2021-07-02T12:00,83.458
2021-07-02T12:15,42.21
2021-07-02T12:30,41.849
2021-07-02T12:45,74.228
2021-07-02T13:00,59.438
2021-07-02T13:15,41.469
2021-07-02T13:30,44.549
2021-07-02T13:45,79.707
2021-07-02T14:00,42.236
2021-07-02T14:15,41.427
2021-07-02T14:30,83.234
2021-07-02T14:45,42.373
2021-07-02T15:00,42.008
2021-07-02T15:15,87.055
2021-07-02T15:30,42.851
2021-07-02T15:45,42.11
2021-07-02T16:00,49.143
2021-07-02T16:15,74.822
2021-07-02T16:30,41.74
2021-07-02T16:45,42.198
2021-07-02T17:00,72.412
2021-07-02T17:15,56.971
2021-07-02T17:30,41.832
2021-07-02T17:45,42.588
2021-07-02T18:00,627.987
2021-07-02T18:15,1376.798
2021-07-02T18:30,183.943
2021-07-02T18:45,42.031
2021-07-02T19:00,99.304
2021-07-02T19:15,1712.654
2021-07-02T19:30,520.107
2021-07-02T19:45,84.012
2021-07-02T20:00,395.065
2021-07-02T20:15,42.142
2021-07-02T20:30,42.492
2021-07-02T20:45,56.313
2021-07-02T21:00,80.544
2021-07-02T21:15,42.74
2021-07-02T21:30,201.358
2021-07-02T21:45,273.043
2021-07-02T22:00,181.842
2021-07-02T22:15,252.413
2021-07-02T22:30,463.501
2021-07-02T22:45,211.061
2021-07-02T23:00,183.983
2021-07-02T23:15,182.414
2021-07-02T23:30,228.719
2021-07-02T23:45,184.069
2021-07-03T00:00,143.844
2021-07-03T00:15,169.167
2021-07-03T00:30,141.56
2021-07-03T00:45,152.827
2021-07-03T01:00,41.362
2021-07-03T01:15,41.59
2021-07-03T01:30,74.83
2021-07-03T01:45,42.001
2021-07-03T02:00,41.394
2021-07-03T02:15,81.81
2021-07-03T02:30,41.218
2021-07-03T02:45,41.723
2021-07-03T03:00,46.621
2021-07-03T03:15,83.044
2021-07-03T03:30,42.406
2021-07-03T03:45,41.886
2021-07-03T04:00,210.095
2021-07-03T04:15,371.437
2021-07-03T04:30,371.034
2021-07-03T04:45,303.511
2021-07-03T05:00,297.968
2021-07-03T05:15,265.612
2021-07-03T05:30,263.528
2021-07-03T05:45,172.5
2021-07-03T06:00,42.439
2021-07-03T06:15,42.071
2021-07-03T06:30,64.825
2021-07-03T06:45,1004.32
2021-07-03T07:00,776.508
2021-07-03T07:15,293.415
2021-07-03T07:30,73.967
2021-07-03T07:45,1275.921
2021-07-03T08:00,776.664
2021-07-03T08:15,342.472
2021-07-03T08:30,117.318
2021-07-03T08:45,105.977
2021-07-03T09:00,505.773
2021-07-03T09:15,955.671
2021-07-03T09:30,268.886
2021-07-03T09:45,148.92
2021-07-03T10:00,224.731
2021-07-03T10:15,49.669
2021-07-03T10:30,79.631
2021-07-03T10:45,41.7
2021-07-03T11:00,42.195
2021-07-03T11:15,136.788
2021-07-03T11:30,1510.506
2021-07-03T11:45,2161.169
2021-07-03T12:00,1101.465
2021-07-03T12:15,221.537
2021-07-03T12:30,41.586
2021-07-03T12:45,41.519
2021-07-03T13:00,979.225
2021-07-03T13:15,45.735
2021-07-03T13:30,82.196
2021-07-03T13:45,125.993
2021-07-03T14:00,616.894
2021-07-03T14:15,1218.465
2021-07-03T14:30,1280.208
2021-07-03T14:45,1041.077
2021-07-03T15:00,1090.222
2021-07-03T15:15,1026.272
2021-07-03T15:30,931.047
2021-07-03T15:45,835.275
2021-07-03T16:00,625.141
2021-07-03T16:15,42.478
2021-07-03T16:30,42.026
2021-07-03T16:45,82.08
2021-07-03T17:00,42.42
2021-07-03T17:15,41.756
2021-07-03T17:30,93.149
2021-07-03T17:45,104.055
2021-07-03T18:00,96.802
2021-07-03T18:15,154.052
2021-07-03T18:30,360.169
2021-07-03T18:45,1306.029
2021-07-03T19:00,50.592
2021-07-03T19:15,94.924
2021-07-03T19:30,46.93
2021-07-03T19:45,42.392
2021-07-03T20:00,66.959
2021-07-03T20:15,59.18
2021-07-03T20:30,41.49
2021-07-03T20:45,41.993
2021-07-03T21:00,88.081
2021-07-03T21:15,41.892
2021-07-03T21:30,42.556
2021-07-03T21:45,65.126
2021-07-03T22:00,66.611
2021-07-03T22:15,41.748
2021-07-03T22:30,41.481
2021-07-03T22:45,79.323
2021-07-03T23:00,41.93
2021-07-03T23:15,42.263
2021-07-03T23:30,72.424
2021-07-03T23:45,47.873
2021-07-04T00:00,41.163
2021-07-04T00:15,64.644
2021-07-04T00:30,63.945
2021-07-04T00:45,42.506
2021-07-04T01:00,41.717
2021-07-04T01:15,80.809
2021-07-04T01:30,41.998
2021-07-04T01:45,42.316
2021-07-04T02:00,96.109
2021-07-04T02:15,241.799
2021-07-04T02:30,226.623
2021-07-04T02:45,222.509
2021-07-04T03:00,185.03
2021-07-04T03:15,183.213
2021-07-04T03:30,218.233
2021-07-04T03:45,182.518
2021-07-04T04:00,179.767
2021-07-04T04:15,326.701
2021-07-04T04:30,320.616
2021-07-04T04:45,224.087
2021-07-04T05:00,227.877
2021-07-04T05:15,187.162
2021-07-04T05:30,191.94
2021-07-04T05:45,123.68
2021-07-04T06:00,1257.275
2021-07-04T06:15,810.458
2021-07-04T06:30,1481.316
2021-07-04T06:45,408.376
2021-07-04T07:00,980.62
2021-07-04T07:15,139.819
2021-07-04T07:30,81.264
2021-07-04T07:45,85.384
2021-07-04T08:00,122.871
2021-07-04T08:15,83.791
2021-07-04T08:30,83.759
2021-07-04T08:45,117.515
2021-07-04T09:00,83.243
2021-07-04T09:15,57.679
2021-07-04T09:30,340.684
2021-07-04T09:45,1385.291
2021-07-04T10:00,930.634
2021-07-04T10:15,43.92
2021-07-04T10:30,74.811
2021-07-04T10:45,41.789
2021-07-04T11:00,41.66
2021-07-04T11:15,442.152
2021-07-04T11:30,1556.827
2021-07-04T11:45,1960.271
