Tcond,Tevap,Q,P,EER,hotWaterFlow,coldWaterFlow,load
25,5,143.1,25.7,5.57,7.9906,6.8339,100
25,7,151.2,26,5.82,8.3886,7.2267,100
25,9,159.3,26.3,6.06,8.7858,7.6197,100
25,11,167.4,26.6,6.29,9.1858,8.0156,100
25,13,175.6,27,6.51,9.5911,8.4169,100
30,5,138.9,28,4.96,7.9069,6.6311,100
30,7,147,28.3,5.2,8.3083,7.0278,100
30,9,155.2,28.5,5.44,8.7111,7.4261,100
30,11,163.5,28.9,5.67,9.1181,7.8286,100
30,13,171.9,29.2,5.89,9.5322,8.2386,100
30,15,180.5,29.6,6.1,9.9567,8.6583,100
35,5,133.4,30.7,4.35,7.7833,6.3697,100
35,7,141.5,30.9,4.58,8.1819,6.7636,100
35,9,149.7,31.2,4.8,8.5833,7.1606,100
35,11,158,31.5,5.02,8.9911,7.5639,100
35,13,166.5,31.8,5.24,9.4078,7.9758,100
35,15,175.2,32.2,5.44,9.8361,8.3994,100
40,5,126.7,33.7,3.76,7.6164,6.0511,100
40,7,134.7,33.9,3.97,8.0056,6.4358,100
40,9,142.7,34.2,4.18,8.3997,6.8256,100
40,11,150.9,34.4,4.38,8.8017,7.2228,100
40,13,159.3,34.7,4.59,9.2142,7.6306,100
40,15,167.9,35.1,4.79,9.6403,8.0511,100
45,5,118.9,36.9,3.22,7.4028,5.6772,100
45,7,126.5,37.1,3.41,7.7764,6.0467,100
45,9,134.3,37.3,3.6,8.1564,6.4222,100
45,11,142.2,37.5,3.79,8.5461,6.8072,100
45,13,150.4,37.8,3.98,8.9481,7.2042,100
45,15,158.9,38.1,4.17,9.3656,7.6156,100
